prerequisite_code,course_code
ANTC70H3,ANTD05H3
ANTB19H3,ANTD06H3
ANTB20H3,ANTD06H3
ANTB19H3,ANTD07H3
ANTB20H3,ANTD07H3
ANTB19H3,ANTD10H3
ANTB20H3,ANTD10H3
ANTB14H3,ANTD13H3
ANTB15H3,ANTD13H3
ANTB19H3,ANTD15H3
ANTB20H3,ANTD15H3
ANTC62H3,ANTD16H3
ANTC47H3,ANTD17H3
ANTC48H3,ANTD17H3
ANTA01H3,ANTD18H3
ANTB22H3,ANTD19H3
ANTB19H3,ANTD20H3
ANTB20H3,ANTD20H3
ANTB22H3,ANTD22H3
ANTB14H3,ANTD25H3
ANTA01H3,ANTD26H3
ANTB80H3,ANTD26H3
FSTA01H3,ANTD26H3
ANTA01H3,ANTD31H3
ANTA02H3,ANTD31H3
ANTA01H3,ANTD32H3
ANTA02H3,ANTD32H3
ANTA01H3,ANTD33H3
EESA01H3,ANTD33H3
ESTB01H3,ANTD33H3
ANTC47H3,ANTD35H3
ANTC48H3,ANTD35H3
ANTB14H3,ANTD40H3
ANTB15H3,ANTD40H3
ANTB19H3,ANTD41H3
ANTB20H3,ANTD41H3
ANTA01H3,ANTD60H3
ANTB80H3,ANTD60H3
ANTA01H3,ANTD70H3
ANTB80H3,ANTD70H3
HISB14H3,ANTD71H3
HISC14H3,ANTD71H3
HISC04H3,ANTD71H3
ANTB19H3,ANTD98H3
ANTB20H3,ANTD98H3
ANTB14H3,ANTD99H3
MATA30H3,ASTB23H3
MATA36H3,ASTB23H3
MATA37H3,ASTB23H3
PHYA21H3,ASTB23H3
ASTB23H3,ASTC02H3
MATB41H3,ASTC25H3
PHYA21H3,ASTC25H3
BIOA11H3,BIOA01H3
BIOA11H3,BIOA02H3
BIOA01H3,BIOB10H3
BIOA02H3,BIOB10H3
CHMA10H3,BIOB10H3
CHMA11H3,BIOB10H3
BIOA01H3,BIOB11H3
BIOA02H3,BIOB11H3
CHMA10H3,BIOB11H3
CHMA11H3,BIOB11H3
CHMA10H3,BIOB12H3
CHMA11H3,BIOB12H3
BIOA01H3,BIOB20H3
BIOA02H3,BIOB20H3
BIOA01H3,BIOB33H3
BIOA02H3,BIOB33H3
HLTA03H3,BIOB33H3
HLTA20H3,BIOB33H3
BIOA01H3,BIOB34H3
BIOA02H3,BIOB34H3
CHMA11H3,BIOB34H3
BIOA01H3,BIOB35H3
BIOA11H3,BIOB35H3
BIOA01H3,BIOB38H3
BIOA02H3,BIOB38H3
BIOA01H3,BIOB50H3
BIOA02H3,BIOB50H3
BIOA01H3,BIOB51H3
BIOA02H3,BIOB51H3
BIOA01H3,BIOB52H3
BIOA02H3,BIOB52H3
BIOA01H3,BIOB98H3
BIOA02H3,BIOB98H3
BIOB98H3,BIOB99H3
BIOB10H3,BIOC10H3
BIOB11H3,BIOC10H3
BIOB10H3,BIOC12H3
BIOB11H3,BIOC12H3
CHMB41H3,BIOC12H3
BIOB10H3,BIOC13H3
BIOB11H3,BIOC13H3
CHMB41H3,BIOC13H3
BIOB10H3,BIOC14H3
BIOB11H3,BIOC14H3
BIOB10H3,BIOC15H3
